WALL(K),WINDOWS(K),SHGC,INFILTRATION,Cooling load,Heeting load,Total load
0.3,1.5,0.35,2,75.904427,13.885794,89.790221
0.4,1.5,0.35,2,76.291317,14.593623,90.88494
0.5,1.5,0.35,2,76.668488,15.24464,91.913128
0.6,1.5,0.35,2,77.030374,15.846075,92.876449
0.7,1.5,0.35,2,77.385283,16.404787,93.79007
0.8,1.5,0.35,2,77.73323,16.927351,94.660581
0.3,2.5,0.4,2,77.689647,15.516206,93.205853
0.4,2.5,0.4,2,78.06737,16.199466,94.266836
0.5,2.5,0.4,2,78.428815,16.828567,95.257382
0.6,2.5,0.4,2,78.782606,17.411279,96.193885
0.7,2.5,0.4,2,79.128798,17.952956,97.081754
0.8,2.5,0.4,2,79.462519,18.459769,97.922288
0.3,2,0.4,2,77.664657,14.661066,92.325723
0.4,2,0.4,2,78.025522,15.357853,93.383375
0.5,2,0.4,2,78.376879,15.998188,94.375067
0.6,2,0.4,2,78.717607,16.590998,95.308605
0.7,2,0.4,2,79.053261,17.142068,96.195329
0.8,2,0.4,2,79.379909,17.656937,97.036846
0.3,1.5,0.4,2,77.809661,13.721033,91.530694
0.4,1.5,0.4,2,78.146301,14.431783,92.578084
0.5,1.5,0.4,2,78.480611,15.085,93.565611
0.6,1.5,0.4,2,78.803624,15.688494,94.492118
0.7,1.5,0.4,2,79.125025,16.249222,95.374247
0.8,1.5,0.4,2,79.439888,16.773118,96.213006
0.3,2.5,0.45,2,81.753046,15.155898,96.908944
0.4,2.5,0.45,2,82.044127,15.842147,97.886274
0.5,2.5,0.45,2,82.326371,16.473505,98.799876
0.6,2.5,0.45,2,82.61224,17.057226,99.669466
0.7,2.5,0.45,2,82.895496,17.601485,100.496981
0.8,2.5,0.45,2,83.179689,18.109791,101.28948
0.3,2,0.45,2,81.731175,14.308881,96.040056
